Analysis	Identifier 2	Identifier 1	d 15N/14N Calculated	N %	d 13C/12C Calculated	C %	d 34S/32S Calculated	S %	Comment 1	Comment 2
15591	Muscle	BH1773	12.13	15.82	-26.47	49.72	2.58	1.76		
15592	Muscle	BH1773	12.06	15.90	-26.36	49.49	2.34	1.75		
15593	Muscle	BH1773	12.08	15.67	-26.49	49.31	2.46	1.83		
15594	Muscle	BH1740	15.94	15.74	-19.32	50.03	8.89	1.81		
15595	Muscle	BH1740	16	15.89	-19.24	50.34	9.21	1.65		
15596	Muscle	BH1740	16	15.84	-19.26	50.27	9.07	1.69		
15597	Muscle	BH1759	15.15	15.88	-16.45	50.79	8.8	1.62		
15598	Muscle	BH1759	15.21	15.69	-16.45	49.34	9.02	1.70		
15599	Muscle	BH1759	15.26	15.75	-16.44	49.61	9.06	1.57		
15600	Muscle	BH1769	11.07	15.66	-26.38	49.44	2.5	1.79		
15601	Muscle	BH1769	11.13	15.86	-26.32	50.52	2.16	1.75		
15602	Muscle	BH1769	11.11	15.58	-26.4	49.42	2.16	1.78		
15606	Muscle	BH1765	10.51	15.85	-25.47	50.27	2.35	1.74		
15607	Muscle	BH1765	10.56	15.86	-25.38	49.79	2.27	1.69		
15608	Muscle	BH1765	10.5	15.76	-25.46	50.00	2	1.76		
15609	Muscle	BH1770	10.75	15.98	-25.74	50.11	2.26	1.66		
15610	Muscle	BH1770	10.77	16.03	-25.71	49.91	1.93	1.72		
15611	Muscle	BH1770	10.76	15.82	-25.77	49.80	2.26	1.74		
15612	Muscle	BH1764	14.2	15.72	-17.21	50.38	8.17	1.62		
15613	Muscle	BH1764	14.23	16.08	-17.17	51.00	8.37	1.58		
15614	Muscle	BH1764	14.25	15.52	-17.21	49.83	8.33	1.56		
15615	Muscle	BH1758	15.29	15.83	-17.26	51.18	8.6	1.66		
15616	Muscle	BH1758	15.35	15.88	-17.22	51.47	8.48	1.61		
15617	Muscle	BH1758	15.34	15.72	-17.24	50.18	8.5	1.61		
15621	Muscle	BH1775	11.84	16.04	-27.03	49.45	2.16	1.68		
15622	Muscle	BH1775	12.18	16.04	-27.04	50.53	2.04	1.67		
15623	Muscle	BH1775	11.85	16.01	-27.04	50.22	1.92	1.74		
15624	Muscle	BH1755	15.55	15.60	-18	50.28	9.57	1.65		
15625	Muscle	BH1755	15.59	15.87	-17.95	50.34	9.89	1.66		
15626	Muscle	BH1755	15.54	15.60	-17.92	50.06	10.26	1.69		
15627	Muscle	BH1738	16.4	15.80	-19.25	50.54	10.82	1.76		
15628	Muscle	BH1738	16.44	15.75	-19.26	50.54	10.94	1.60		
15629	Muscle	BH1738	16.46	15.73	-19.15	50.24	10.83	1.63		
15630	Muscle	BH1787	16.26	15.85	-17.25	50.92	8.95	1.56		
15631	Muscle	BH1787	16.23	15.81	-17.18	51.05	8.7	1.70		
15632	Muscle	BH1787	16.15	15.74	-17.16	50.10	8.88	1.74		
15671	Muscle	BH687	14.79	15.43	-16.04	47.83	10.08	1.53		
15672	Muscle	BH687	14.84	15.40	-16	48.00	9.89	1.47		
15673	Muscle	BH687	14.65	15.23	-16.02	46.88	10.1	1.55		
15674	Muscle	BH1806	14.69	14.99	-16.78	46.34	8.18	1.45		
15675	Muscle	BH1806	14.51	15.19	-16.76	46.85	8.09	1.50		
15676	Muscle	BH1806	14.47	14.98	-16.74	46.27	8.09	1.50		
15677	Muscle	BH1752	15.18	15.09	-17.22	46.37	9.7	1.48		
15678	Muscle	BH1752	15.27	15.16	-17.20	46.63	9.69	1.45		
15679	Muscle	BH1752	15.28	15.08	-17.13	45.98	9.93	1.51		
15680	Muscle	BH1774	12.31	15.44	-26.80	46.58	2.94	1.64		
15681	Muscle	BH1774	12.27	15.39	-26.85	46.06	2.35	1.62		
15682	Muscle	BH1774	12.32	15.38	-26.78	46.15	2.42	1.56		
15686	Muscle	BH1805	15.9	14.98	-16.56	46.04	8.79	1.45		
15687	Muscle	BH1805	15.89	14.97	-16.52	45.88	9.13	1.50		
15688	Muscle	BH1805	15.86	14.75	-16.57	45.36	9.34	1.59		
15689	Muscle	BH1827	16.5	15.01	-17.5	45.79	9.71	1.51		
15690	Muscle	BH1827	16.57	14.98	-17.44	45.18	10.07	1.45		
15691	Muscle	BH1827	16.42	15.09	-17.47	45.93	10.07	1.44		
15692	Muscle	BH1809	15.41	14.87	-16.81	44.91	7.99	1.46		
15693	Muscle	BH1809	15.44	14.87	-16.89	45.47	8.07	1.55		
15694	Muscle	BH1809	15.34	14.89	-16.85	45.93	7.71	1.47		
15695	Muscle	BH686	16.37	14.86	-19.53	44.68	10.34	1.50		
15696	Muscle	BH686	16.54	15.17	-19.46	45.57	10.02	1.44		
15697	Muscle	BH686	16.43	14.88	-19.53	44.59	10.02	1.46		
15701	Muscle	BH1585	15.5	14.70	-15.98	44.62	10.02	1.49	Drift Standard before didn't fall into reactor, so maybe measured together with sample	
15702	Muscle	BH1585	15.49	14.72	-16.04	44.91	10.4	1.53		
15703	Muscle	BH1585	15.48	14.93	-16.02	44.94	10.18	1.51		
15704	Muscle	BH1584	14.83	14.58	-16.94	43.82	10.43	1.56		
15705	Muscle	BH1584	14.83	14.55	-17.05	44.45	10.91	1.54		
15706	Muscle	BH1584	14.81	14.61	-16.92	44.55	10.7	1.58		
15707	Muscle	BH1599	16.27	14.96	-18.26	44.65	9.27	1.47		
15708	Muscle	BH1599	16.34	14.96	-18.32	44.58	8.93	1.47		
15709	Muscle	BH1599	16.33	14.88	-18.35	45.11	9.38	1.47		
15710	Muscle	BH1829	15	14.33	-16.72	42.97	9.22	1.44		
15711	Muscle	BH1829	14.93	14.49	-16.67	43.91	9.16	1.42		
15712	Muscle	BH1829	15.08	14.50	-16.6	43.02	8.82	1.42		
15716	Muscle	BH1776	11.54	15.09	-26.35	43.83	2.37	1.54		
15717	Muscle	BH1776	11.57	14.83	-26.36	43.15	2.14	1.71		
15718	Muscle	BH1776	11.51	14.82	-26.39	43.88	2.32	1.60		
15719	Muscle	BH376	16.81	14.67	-24.17	44.51	2.75	1.50		
15720	Muscle	BH376	16.71	14.60	-24.21	43.74	2.7	1.46		
15721	Muscle	BH376	16.83	14.60	-24.17	44.00	2.57	1.36		
15722	Muscle	BH390	16.42	13.13	-23.99	47.52	3.77	1.35		
15723	Muscle	BH390	16.41	13.05	-23.97	46.92	3.54	1.27		
15724	Muscle	BH390	16.41	13.02	-24.01	46.95	3.81	1.32		
15725	Muscle	BH1767	12.78	14.75	-27.11	44.01	2.24	1.57		
15726	Muscle	BH1767	12.85	14.98	-27.11	44.14	2.37	1.55		
15727	Muscle	BH1767	12.85	14.81	-27.17	44.26	1.92	1.58		
15753	Muscle	BH1595	14.76	15.64	-16.84	49.08	9.73	1.38		
15754	Muscle	BH1595	14.69	15.60	-16.74	48.78	10.24	1.41		
15755	Muscle	BH1595	14.86	15.72	-16.93	49.18	10.22	1.50		
15756	Muscle	BH1771	12.61	16.10	-27.45	49.10	2.27	1.64		
15757	Muscle	BH1771	12.57	16.03	-27.41	48.83	1.82	1.52		
15758	Muscle	BH1771	12.49	16.01	-27.52	48.98	1.68	1.68		
15759	Muscle	BH1768	12.6	15.52	-26.57	47.74	2.38	1.65		
15760	Muscle	BH1768	12.57	15.75	-26.57	47.88	2.31	1.58		
15761	Muscle	BH1768	12.56	15.81	-26.54	48.55	2.22	1.57		
15762	Muscle	BH1802	15.97	15.74	-16.86	48.47	9.22	1.50		
15763	Muscle	BH1802	16	15.71	-16.93	48.80	9.38	1.51		
15764	Muscle	BH1802	16.02	15.80	-16.92	48.49	9.82	1.43		
15768	Muscle	BH383	16.12	14.04	-25.04	50.77	2.7	1.30		
15769	Muscle	BH383	16.07	14.22	-25.03	50.69	2.55	1.35		
15770	Muscle	BH383	16.09	14.18	-25.08	50.95	2.46	1.40		
15771	Muscle	BH1825	16.07	15.66	-16.86	48.63	8.76	1.50		
15772	Muscle	BH1825	16.01	15.64	-16.87	48.35	9.27	1.61		
15773	Muscle	BH1825	15.91	15.71	-16.83	48.48	9.21	1.54		
15774	Muscle	BH1781	16.14	15.77	-16.81	48.51	8.74	1.50		
15775	Muscle	BH1781	16.12	15.66	-16.91	47.57	8.55	1.52		
15776	Muscle	BH1781	16.15	15.84	-16.94	48.70	8.77	1.53		
15777	Muscle	BH1810	15.79	15.49	-16.96	49.22	9.18	1.43		
15778	Muscle	BH1810	15.71	15.70	-16.98	49.52	9.06	1.51		
15779	Muscle	BH1810	15.73	15.51	-17.02	48.84	9.08	1.59		
15783	Muscle	BH1746	15.94	15.84	-18.06	49.54	9.85	1.39	Drift Standard before didn't fall into reactor, so maybe measured together with sample	
15784	Muscle	BH1746	16.06	15.93	-18.04	49.05	9.98	1.38		
15785	Muscle	BH1746	15.96	15.85	-18.13	48.69	10.27	1.50		
15786	Muscle	BH1812	16.6	15.98	-18.78	48.61	11.88	1.44		
15787	Muscle	BH1812	16.54	15.91	-18.71	48.13	11.82	1.52		
15788	Muscle	BH1812	16.53	15.69	-18.73	47.28	11.97	1.54		
15789	Muscle	BH1701	17.62	15.90	-18.88	48.52	9.07	1.59		
15790	Muscle	BH1701	17.62	15.90	-18.87	47.13	8.64	1.70		
15791	Muscle	BH1701	17.55	15.77	-18.97	47.62	8.91	1.64		
15792	Muscle	BH1597	17.54	15.68	-19.53	48.09	10.37	1.42		
15793	Muscle	BH1597	17.61	16.08	-19.57	48.68	10.4	1.56		
15794	Muscle	BH1597	17.55	15.99	-19.6	48.68	10.64	1.51		
15798	Muscle	BH1818	15.09	16.00	-16.73	49.15	6.27	1.51		
15799	Muscle	BH1818	15.07	15.77	-16.73	48.50	6.35	1.51		
15800	Muscle	BH1818	15.03	15.72	-16.81	48.18	6.52	1.52		
15801	Muscle	BH1821	14.62	16.06	-17.34	48.19	10.15	1.53		
15802	Muscle	BH1821	14.7	15.81	-17.41	48.32	10.36	1.49		
15803	Muscle	BH1821	14.69	15.88	-17.51	49.12	10.91	1.49		
15804	Muscle	BH1739	15.1	16.13	-16.71	48.85	10.08	1.66		
15805	Muscle	BH1739	15.17	15.83	-16.65	47.83	9.79	1.58		
15806	Muscle	BH1739	15.18	15.83	-16.64	47.85	9.95	1.51		
15807	Muscle	BH1594	14.56	15.87	-16.66	48.38	9.5	1.54		
15808	Muscle	BH1594	14.54	16.10	-16.59	49.20	9.23	1.50		
15809	Muscle	BH1594	14.52	15.85	-16.63	47.89	9.23	1.55		
15835	Muscle	BH1761	13.9	15.35	-16.92	46.96	9.08	1.69		
15836	Muscle	BH1761	14.04	15.35	-16.95	46.98	9.45	1.67		
15837	Muscle	BH1761	14.12	15.47	-16.92	47.34	9.66	1.51		
15838	Muscle	BH1804	14.92	15.29	-17.27	47.08	9.3	1.55		
15839	Muscle	BH1804	14.91	15.35	-17.31	47.08	9.32	1.57		
15840	Muscle	BH1804	14.98	15.37	-17.29	47.02	9.33	1.57		
15841	Muscle	BH1777	15.38	15.78	-17.03	47.95	8.79	1.53		
15842	Muscle	BH1777	15.32	15.76	-17.03	48.23	8.68	1.52		
15843	Muscle	BH1777	15.32	15.74	-17.03	47.95	8.55	1.52		
15844	Muscle	BH1766	11.22	15.59	-27.27	46.73	1.64	1.65		
15845	Muscle	BH1766	11.33	15.69	-27.25	46.99	1.36	1.70		
15846	Muscle	BH1766	11.24	15.57	-27.26	47.01	1.39	1.64		
15850	Muscle	BH1596	16.57	15.85	-19.29	47.25	9.44	1.58		
15851	Muscle	BH1596	16.56	15.69	-19.36	47.21	9.74	1.60		
15852	Muscle	BH1596	16.59	15.87	-19.35	47.53	9.98	1.57		
15853	Muscle	BH379		 		 		 	Sample didnt fall into reactor	
15854	Muscle	BH379	16.63	14.96	-23.28	52.81	3.21	1.16	Sample measured together with sample before	
15855	Muscle	BH379	16.56	14.24	-23.45	49.75	3.01	1.39		
15856	Muscle	BH1731	16.04	15.82	-17.45	47.12	10.27	1.69		
15857	Muscle	BH1731	15.98	15.92	-17.47	47.83	10.71	1.58		
15858	Muscle	BH1731	15.96	15.84	-17.39	47.28	10.87	1.58		
15859	Muscle	BH1592	13.88	15.43	-16.52	47.98	8.71	1.56		
15860	Muscle	BH1592	13.83	15.62	-16.31	47.83	8.64	1.48		
15861	Muscle	BH1592	13.87	15.50	-16.5	48.28	8.72	1.53		
15865	Muscle	BH1717	17.71	15.69	-18.39	46.94	7.46	1.56		
15866	Muscle	BH1717	17.64	15.61	-18.36	46.34	7.58	1.54		
15867	Muscle	BH1717	17.68	15.64	-18.38	46.26	7.79	1.63		
15868	Muscle	BH1803	15.74	15.35	-16.56	46.24	7.93	1.50		
15869	Muscle	BH1803	15.74	15.24	-16.57	46.18	7.92	1.49		
15870	Muscle	BH1803	15.73	15.34	-16.57	46.07	7.96	1.48		
15871	Muscle	BH1811	15.55	15.64	-16.87	47.52	8.5	1.49		
15872	Muscle	BH1811	15.58	15.60	-16.85	46.98	8.45	1.56		
15873	Muscle	BH1811	15.59	15.52	-16.85	47.38	8.37	1.57		
15874	Muscle	BH1583	16.43	15.88	-19.04	47.72	8.06	1.59		
15875	Muscle	BH1583	16.49	15.91	-19.03	47.36	8.1	1.54		
15876	Muscle	BH1583	16.45	15.86	-19.02	47.67	8.28	1.57		
15880	Muscle	BH1797	15.98	15.84	-16.8	47.49	8.21	1.49		
15881	Muscle	BH1797	15.98	15.68	-16.83	47.25	8.18	1.58		
15882	Muscle	BH1797	15.99	15.63	-16.77	47.40	8.42	1.52		
15883	Muscle	BH1783	14.79	15.60	-16.74	48.00	8.84	1.51		
15884	Muscle	BH1783	14.8	15.56	-16.8	47.96	8.96	1.52		
15885	Muscle	BH1783	14.8	15.47	-16.79	47.16	9.02	1.67		
15886	Muscle	BH1734	16.33	15.60	-18.41	46.55	9.03	1.49		
15887	Muscle	BH1734	16.37	15.71	-18.32	47.02	9.13	1.45		
15888	Muscle	BH1734	16.36	15.56	-18.38	46.83	9.12	1.47		
15889	Muscle	BH1813	15.29	15.06	-16.17	46.72	7.9	1.58		
15890	Muscle	BH1813	15.3	15.22	-16.08	47.01	8.07	1.50		
15891	Muscle	BH1813	15.28	15.18	-16.05	46.89	8.18	1.48		
15927	Muscle	BH01868	16.3	14.41	-18.9	45.86	9.51	1.28		
15928	Muscle	BH01868	16.36	14.44	-18.96	46.27	9.65	1.30		
15929	Muscle	BH01868	16.38	14.41	-18.94	45.97	9.87	1.29		
15930	Muscle	BH01860	14.8	14.11	-17.19	45.75	9.75	1.37		
15931	Muscle	BH01860	14.85	13.94	-17.17	44.95	9.92	1.34		
15932	Muscle	BH01860	14.84	14.07	-17.18	45.51	9.69	1.35		
15933	Muscle	BH01872	15.41	14.37	-17.01	45.88	8.09	1.33		
15934	Muscle	BH01872	15.38	14.34	-17.03	46.38	8.27	1.34		
15935	Muscle	BH01872	15.44	14.21	-17.06	45.51	8.24	1.32		
15936	Muscle	BH01835	15.14	14.09	-16.64	46.18	8.56	1.33		
15937	Muscle	BH01835	15.13	14.05	-16.67	45.92	8.63	1.37		
15938	Muscle	BH01835	15.07	13.93	-16.69	45.53	8.67	1.41		
15942	Muscle	BH1869							Sample didnt fall into reactor	
15943	Muscle	BH1869	15.56	14.62	-16.44	47.19	8.8	1.49	Sample measured together with sample before	
15944	Muscle	BH1869	15.56	14.13	-16.59	45.97	8.6	1.41		
15945	Muscle	BH01836	15.24	14.03	-17.39	45.84	8.62	1.34		
15946	Muscle	BH01836	15.22	14.08	-17.37	45.89	8.88	1.35		
15947	Muscle	BH01836	15.27	14.10	-17.4	46.11	8.86	1.34		
15948	Muscle	BH01851	15.28	14.11	-16.6	46.01	7.78	1.25		
15949	Muscle	BH01851	15.34	14.02	-16.59	45.65	7.77	1.22		
15950	Muscle	BH01851	15.27	14.22	-16.53	46.74	7.94	1.27		
15951	Muscle	BH01567	15.84	13.45	-18.89	46.29	6.26	1.15		
15952	Muscle	BH01567	15.53	13.31	-18.91	45.95	6.08	1.14		
15953	Muscle	BH01567	15.51	13.50	-18.9	46.41	6.08	1.19		
15957	Muscle	BH01574	15.8	14.04	-18.1	45.84	6.41	1.09		
15958	Muscle	BH01574	15.78	14.06	-18.08	45.64	6.65	1.11		
15959	Muscle	BH01574	15.81	14.06	-18.11	45.69	6.4	1.08		
15960	Muscle	BH01867	16.42	13.98	-17.19	46.41	9.19	1.32		
15961	Muscle	BH01867	16.72	13.92	-17.22	46.55	9.18	1.33		
15962	Muscle	BH01867	16.36	13.88	-17.21	45.99	9.24	1.29		
15963	Muscle	BH01855	15.85	13.94	-17.84	45.16	9.87	1.34		
15964	Muscle	BH01855	15.9	14.09	-17.82	45.62	9.91	1.35		
15965	Muscle	BH01855	15.96	14.09	-17.9	45.70	9.85	1.36		
15966	Muscle	BH01839	15.63	13.95	-16.81	46.10	8.81	1.36		
15967	Muscle	BH01839	15.66	14.19	-16.78	46.08	8.77	1.38		
15968	Muscle	BH01839	15.61	14.14	-16.8	46.36	8.81	1.38		
15972	Muscle	BH01578	16.79	13.45	-18.04	43.41	7.49	1.31		
15973	Muscle	BH01578	16.75	14.20	-18.02	45.78	7.54	1.37		
15974	Muscle	BH01578	16.81	14.13	-18.02	45.65	7.52	1.37		
15975	Muscle	BH01580	16.24	14.25	-18.03	45.13	5.97	1.15		
15976	Muscle	BH01580	16.3	14.05	-18.03	44.19	5.98	1.11		
15977	Muscle	BH01580	16.27	14.20	-18.01	44.84	6.12	1.15		
15978	Muscle	BH00680	14.74	13.99	-16.9	46.12	9.86	1.37		
15979	Muscle	BH00680	14.73	14.13	-16.89	46.44	10.06	1.37		
15980	Muscle	BH00680	14.64	13.98	-16.83	45.86	10.14	1.35		
15981	Muscle	BH01576	16.66	13.95	-18.73	45.45	6.45	1.31		
15982	Muscle	BH01576	16.94	13.92	-18.71	45.16	6.26	1.31		
15983	Muscle	BH01576	16.59	13.82	-18.67	44.92	6.22	1.33		
16016	Muscle	BH01845	15.45	14.31	-18.46	45.91	10.04	1.32		
16017	Muscle	BH01845	15.42	14.26	-18.48	46.32	10.28	1.31		
16018	Muscle	BH01845	15.52	14.25	-18.49	45.62	10.16	1.31		
16019	Muscle	BH01837	15.98	14.33	-17.43	46.61	8.77	1.40		
16020	Muscle	BH01837	16.02	14.06	-17.45	45.64	8.79	1.40		
16021	Muscle	BH01837	15.98	14.22	-17.45	46.64	8.91	1.40		
16022	Muscle	BH01581	16.58	14.27	-18.64	46.09	5.79	1.40		
16023	Muscle	BH01581	16.57	14.23	-18.60	45.81	5.65	1.42		
16024	Muscle	BH01581	16.57	14.31	-18.62	46.27	5.66	1.40		
16025	Muscle	BH00697	14.74	14.32	-17.04	47.47	9.15	1.33		
16026	Muscle	BH00697	14.84	14.24	-17.08	46.96	9.33	1.34		
16027	Muscle	BH00697	14.8	14.35	-17.06	47.13	9.25	1.33		
16031	Muscle	BH01863	16.32	13.76	-17.26	45.39	8.89	1.26		
16032	Muscle	BH01863	16.31	14.06	-17.28	46.33	8.8	1.27		
16033	Muscle	BH01863	16.32	13.99	-17.27	46.30	8.78	1.28		
16034	Muscle	BH01838	16.05	14.15	-19.09	45.33	11.74	1.34		
16035	Muscle	BH01838	16.04	14.10	-19.1	45.67	11.81	1.33		
16036	Muscle	BH01838	15.98	14.23	-19.1	46.04	11.83	1.35		
16037	Muscle	BH01566	17.41	14.18	-18.6	46.50	7.46	1.38		
16038	Muscle	BH01566	17.44	14.10	-18.61	46.33	7.44	1.34		
16039	Muscle	BH01566	17.42	14.11	-18.63	46.11	7.42	1.38		
16040	Muscle	BH01875	11.97	14.25	-27.31	45.14	1.9	1.64		
16041	Muscle	BH01875	11.96	14.23	-27.31	45.11	1.65	1.63		
16042	Muscle	BH01875	11.99	14.13	-27.32	44.43	1.66	1.63		
16046	Muscle	BH01871	16.1	13.99	-17.41	45.64	9.04	1.38		
16047	Muscle	BH01871	16.06	14.27	-17.43	46.29	8.99	1.39		
16048	Muscle	BH01871	16	13.62	-17.43	44.28	9.03	1.33		
16049	Muscle	BH01572	17.11	14.33	-18.15	46.92	8.21	1.41		
16050	Muscle	BH01572	17.17	14.31	-18.17	46.93	8.22	1.41		
16051	Muscle	BH01572	17.13	14.28	-18.15	46.45	8.22	1.40		
16052	Muscle	BH01573	16.74	14.35	-18.16	46.27	7.29	1.41		
16053	Muscle	BH01573	16.77	14.34	-18.14	46.12	7.22	1.40		
16054	Muscle	BH01573	16.76	14.31	-18.16	46.03	7.17	1.40		
16055	Muscle	BH01565	16.16	13.22	-17.95	45.19	7.43	1.23		
16056	Muscle	BH01565	16.2	13.60	-17.94	46.11	7.36	1.25		
16057	Muscle	BH01565	16.18	13.68	-17.93	46.42	7.52	1.25		
16061	Muscle	BH01571	16.42	14.09	-18.01	45.79	8.23	1.41		
16062	Muscle	BH01571	16.47	14.12	-18.02	45.85	8.3	1.44		
16063	Muscle	BH01571	16.46	14.03	-18.02	45.31	8.32	1.43		
16064	Muscle	BH01842	16.12	14.19	-17.03	46.14	8.31	1.38		
16065	Muscle	BH01842	16.11	14.19	-17.04	46.03	8.4	1.35		
16066	Muscle	BH01842	16.08	14.27	-16.93	46.39	8.31	1.35		
16067	Muscle	BH00685	14.72	14.07	-16.73	45.89	9.65	1.38		
16068	Muscle	BH00685	14.7	14.36	-16.74	46.16	9.66	1.35		
16069	Muscle	BH00685	14.71	13.38	-16.82	44.16	9.57	1.31		
16070	Muscle	BH01828	16.13	14.30	-17.24	46.30	8.89	1.41		
16071	Muscle	BH01828	16.14	14.32	-17.23	46.43	9.02	1.41		
16072	Muscle	BH01828	16.18	14.29	-17.28	46.20	8.94	1.42		
16106	Muscle	BH00377	16.6	11.13	-25.51	51.40	2.84	1.03		
16107	Muscle	BH00377	16.65	11.19	-25.53	50.95	2.71	1.04		
16108	Muscle	BH00377	16.64	11.11	-25.54	50.90	2.92	1.01		
16109	Muscle	BH01724	14.6	14.06	-16.2	45.15	6.87	1.42		
16110	Muscle	BH01724	14.64	14.19	-16.2	45.58	7.07	1.45		
16111	Muscle	BH01724	14.61	14.23	-16.21	45.64	7.01	1.43		
16112	Muscle	BH01579	16.49	13.59	-17.74	43.83	7.76	1.36		
16113	Muscle	BH01579	16.53	14.07	-17.76	45.12	7.91	1.40		
16114	Muscle	BH01579	16.47	13.90	-17.75	44.62	7.89	1.38		
16115	Muscle	BH01575	16.93	13.90	-18.33	45.00	6.8	1.46		
16116	Muscle	BH01575	16.94	13.96	-18.39	45.35	6.57	1.44		
16117	Muscle	BH01575	16.92	13.95	-18.35	45.18	6.38	1.44		
16121	Muscle	BH01555	15.86	14.13	-17.08	45.41	9.8	1.34		
16122	Muscle	BH01555	15.93	14.13	-17.08	45.47	9.85	1.37		
16123	Muscle	BH01555	15.87	13.90	-17.12	44.76	9.96	1.36		
16124	Muscle	BH00683	15.34	13.84	-17.93	44.89	2.49	1.47		
16125	Muscle	BH00683	15.29	13.94	-17.93	44.98	2.71	1.48		
16126	Muscle	BH00683	15.33	13.98	-17.88	44.78	2.82	1.49		
16127	Muscle	BH01713	17	14.45	-17.22	45.52	9.61	1.38		
16128	Muscle	BH01713	16.69	14.40	-17.24	45.88	9.76	1.38		
16129	Muscle	BH01713	16.72	14.42	-17.2	45.44	9.85	1.36		
16130	Muscle	BH00367	17.5	13.64	-22.96	46.67	3.82	1.24		
16131	Muscle	BH00367	17.51	13.65	-22.98	46.88	3.55	1.25		
16132	Muscle	BH00367	17.48	13.73	-22.97	46.75	3.69	1.24		
16136	Muscle	BH00682	13.34	13.72	-15.01	44.38	7.87	1.35		
16137	Muscle	BH00682	13.34	14.13	-15.05	46.32	7.78	1.40		
16138	Muscle	BH00682	13.4	14.05	-15.04	46.13	8.04	1.41		
16139	Muscle	BH00688	15.92	13.81	-18.33	44.89	9.76	1.31		
16140	Muscle	BH00688	15.83	13.93	-18.29	45.62	9.66	1.34		
16141	Muscle	BH00688	15.84	13.93	-18.3	45.59	9.71	1.33		
16142	Muscle	BH01577	14.91	13.78	-16.26	45.38	9.3	1.31		
16143	Muscle	BH01577	14.91	13.90	-16.25	45.59	9.4	1.32		
16144	Muscle	BH01577	15.01	13.74	-16.28	45.06	9.5	1.28		
16154	Muscle	BH01570	17.93	14.32	-18.45	46.71	5.68	1.42		
16146	Muscle	BH01570	17.96	14.14	-18.46	46.22	5.77	1.40		
16147	Muscle	BH01570	18.01	14.13	-18.47	46.41	5.69	1.40		
16151	Muscle	BH01554	17.17	14.31	-18.24	45.45	6.35	1.38		
16152	Muscle	BH01554	17.25	14.40	-18.22	45.52	6.39	1.39		
16153	Muscle	BH01554	17.19	14.36	-18.24	45.69	6.63	1.36		
16145	Muscle	BH00684	16.38	13.91	-18.51	45.28	7.54	1.45		
16155	Muscle	BH00684	16.3	13.99	-18.42	45.52	7.2	1.45		
16156	Muscle	BH00684	16.27	14.01	-18.43	45.91	7.27	1.45		
16157	Muscle	BH00365	17.27	13.11	-22.97	47.18	3.82	1.21		
16158	Muscle	BH00365	17.28	13.07	-23.02	47.45	3.67	1.21		
16159	Muscle	BH00365	17.27	13.04	-22.96	47.60	3.49	1.22		
16160	Muscle	BH00561	16.62	14.14	-21.44	45.40	8.26	1.41		
16161	Muscle	BH00561	16.53	14.26	-21.51	45.71	8.3	1.42		
16162	Muscle	BH00561	16.49	13.91	-21.48	44.32	8.32	1.38		
16190	Muscle	BH00055	15.77	14.19	-16.42	45.38	9.85	1.33		
16191	Muscle	BH00055	15.75	14.43	-16.4	45.94	9.92	1.39		
16192	Muscle	BH00055	15.78	14.40	-16.39	46.04	9.94	1.36		
16193	Muscle	BH01749	16.61	14.23	-19.5	46.32	6.77	1.42		
16194	Muscle	BH01749	16.58	14.08	-19.54	45.72	6.7	1.42		
16195	Muscle	BH01749	16.59	14.27	-19.5	46.04	6.68	1.40		
16196	Muscle	BH01841	18.08	14.22	-19.3	46.83	11.33	1.32		
16197	Muscle	BH01841	18.02	14.19	-19.26	46.59	11.44	1.32		
16198	Muscle	BH01841	18.16	14.09	-19.29	45.79	11.54	1.30		
16199	Muscle	BH01760	16.92	14.41	-17.04	46.44	8.28	1.41		
16200	Muscle	BH01760	16.91	14.10	-17.07	45.57	8.38	1.36		
16201	Muscle	BH01760	16.87	14.45	-17.05	46.60	8.22	1.40		
16205	Muscle	BH00555	17.8	14.11	-21.61	46.60	9.08	1.58		
16206	Muscle	BH00555	17.81	14.22	-21.57	46.58	9.08	1.56		
16207	Muscle	BH00555	17.8	14.02	-21.6	45.68	9.17	1.57		
16208	Muscle	BH00371	17.44	13.55	-24.85	46.96	2.76	1.31		
16209	Muscle	BH00371	17.28	13.60	-24.78	46.80	2.45	1.32		
16210	Muscle	BH00371	17.32	13.24	-24.86	45.31	2.59	1.33		
16211	Muscle	BH00381	16.75	12.36	-24.03	45.90	3.58	1.15		
16212	Muscle	BH00381	16.85	12.32	-24.09	45.68	3.66	1.17		
16213	Muscle	BH00381	16.89	12.28	-24.13	46.12	3.63	1.19		
16214	Muscle	BH01862	16.3	13.96	-16.95	45.63	9.15	1.37		
16215	Muscle	BH01862	16.32	14.02	-16.9	45.94	9.32	1.39		
16216	Muscle	BH01862	16.24	14.16	-16.91	46.02	9.31	1.39		
16220	Muscle	BH01779	17.15	14.10	-17.86	46.00	9.16	1.30		
16221	Muscle	BH01779	17.24	14.19	-17.9	46.64	9.31	1.34		
16222	Muscle	BH01779	17.23	14.24	-17.83	46.69	9.39	1.32		
16223	Muscle	BH01586	14.83	14.38	-18.1	46.31	10.34	1.41		
16224	Muscle	BH01586	14.87	14.26	-18.09	46.07	10.27	1.39		
16225	Muscle	BH01586	15.02	14.19	-18.09	46.65	10.33	1.40		
16226	Muscle	BH01562	17.77	14.27	-17.41	46.08	7.52	1.43		
16227	Muscle	BH01562	17.82	14.33	-17.41	46.07	7.57	1.44		
